"","Team1","Team2","Goal_Team_1","Goal_Team_2","Hasil"
"1","Real Madrid","Liverpool",1,0,"Team 1 Menang"
"2","Liverpool","Villarreal",2,0,"Team 1 Menang"
"3","Villarreal","Liverpool",2,3,"Team 2 Menang"
"4","Manchester City","Real Madrid",4,3,"Team 1 Menang"
"5","Real Madrid","Manchester City",3,1,"Team 1 Menang"
"6","Villarreal","Bayern Munich",1,0,"Team 1 Menang"
"7","Bayern Munich","Villarreal",1,1,"Imbang"
"8","Chelsea","Real Madrid",1,3,"Team 2 Menang"
"9","Real Madrid","Chelsea",2,3,"Team 2 Menang"
"10","Benfica","Liverpool",1,3,"Team 2 Menang"
"11","Liverpool","Benfica",3,3,"Imbang"
"12","Manchester City","Atlético Madrid",1,0,"Team 1 Menang"
"13","Atlético Madrid","Manchester City",0,0,"Imbang"
"14","RB Salzburg","Bayern Munich",1,1,"Imbang"
"15","Bayern Munich","RB Salzburg",7,1,"Team 1 Menang"
"16","Sporting CP","Manchester City",0,5,"Team 2 Menang"
"17","Manchester City","Sporting CP",0,0,"Imbang"
"18","Atlético Madrid","Manchester Utd",1,1,"Imbang"
"19","Manchester Utd","Atlético Madrid",0,1,"Team 2 Menang"
"20","Benfica","Ajax",2,2,"Imbang"
"21","Ajax","Benfica",0,1,"Team 2 Menang"
"22","Villarreal","Juventus",1,1,"Imbang"
"23","Juventus","Villarreal",0,3,"Team 2 Menang"
"24","Paris S-G","Real Madrid",1,0,"Team 1 Menang"
"25","Real Madrid","Paris S-G",3,1,"Team 1 Menang"
"26","Inter","Liverpool",0,2,"Team 2 Menang"
"27","Liverpool","Inter",0,1,"Team 2 Menang"
"28","Chelsea","Lille",2,0,"Team 1 Menang"
"29","Lille","Chelsea",1,2,"Team 2 Menang"
"30","Chelsea","Manchester City",1,0,"Team 1 Menang"
"31","Real Madrid","Chelsea",1,1,"Imbang"
"32","Chelsea","Real Madrid",2,0,"Team 1 Menang"
"33","Paris S-G","Manchester City",1,2,"Team 2 Menang"
"34","Manchester City","Paris S-G",2,0,"Team 1 Menang"
"35","Bayern Munich","Paris S-G",2,3,"Team 2 Menang"
"36","Paris S-G","Bayern Munich",0,1,"Team 2 Menang"
"37","Real Madrid","Liverpool",3,1,"Team 1 Menang"
"38","Liverpool","Real Madrid",0,0,"Imbang"
"39","Porto","Chelsea",0,2,"Team 2 Menang"
"40","Chelsea","Porto",0,1,"Team 2 Menang"
"41","Manchester City","Dortmund",2,1,"Team 1 Menang"
"42","Dortmund","Manchester City",1,2,"Team 2 Menang"
"43","Lazio","Bayern Munich",1,4,"Team 2 Menang"
"44","Bayern Munich","Lazio",2,1,"Team 1 Menang"
"45","Barcelona","Paris S-G",1,4,"Team 2 Menang"
"46","Paris S-G","Barcelona",1,1,"Imbang"
"47","M'Gladbach","Manchester City",0,2,"Team 2 Menang"
"48","Manchester City","M'Gladbach",2,0,"Team 1 Menang"
"49","Atalanta","Real Madrid",0,1,"Team 2 Menang"
"50","Real Madrid","Atalanta",3,1,"Team 1 Menang"
"51","Porto","Juventus",2,1,"Team 1 Menang"
"52","Juventus","Porto",3,2,"Team 1 Menang"
"53","RB Leipzig","Liverpool",0,2,"Team 2 Menang"
"54","Liverpool","RB Leipzig",2,0,"Team 1 Menang"
"55","Sevilla","Dortmund",2,3,"Team 2 Menang"
"56","Dortmund","Sevilla",2,2,"Imbang"
"57","Atlético Madrid","Chelsea",0,1,"Team 2 Menang"
"58","Chelsea","Atlético Madrid",2,0,"Team 1 Menang"
"59","Bayern Munich","Paris S-G",1,0,"Team 1 Menang"
"60","Chelsea","Bayern Munich",0,3,"Team 2 Menang"
"61","Bayern Munich","Chelsea",4,1,"Team 1 Menang"
"62","Napoli","Barcelona",1,1,"Imbang"
"63","Barcelona","Napoli",3,1,"Team 1 Menang"
"64","Tottenham","RB Leipzig",0,1,"Team 2 Menang"
"65","RB Leipzig","Tottenham",3,0,"Team 1 Menang"
"66","Real Madrid","Manchester City",1,2,"Team 2 Menang"
"67","Manchester City","Real Madrid",2,1,"Team 1 Menang"
"68","Atlético Madrid","Liverpool",1,0,"Team 1 Menang"
"69","Liverpool","Atlético Madrid",2,3,"Team 2 Menang"
"70","Atalanta","Valencia",4,1,"Team 1 Menang"
"71","Valencia","Atalanta",3,4,"Team 2 Menang"
"72","Dortmund","Paris S-G",2,1,"Team 1 Menang"
"73","Paris S-G","Dortmund",2,0,"Team 1 Menang"
"74","Lyon","Juventus",1,0,"Team 1 Menang"
"75","Juventus","Lyon",2,1,"Team 1 Menang"
"76","Liverpool","Tottenham",2,0,"Team 1 Menang"
"77","Tottenham","Ajax",0,1,"Team 2 Menang"
"78","Ajax","Tottenham",2,3,"Team 2 Menang"
"79","Barcelona","Liverpool",3,0,"Team 1 Menang"
"80","Liverpool","Barcelona",4,0,"Team 1 Menang"
"81","Manchester Utd","Barcelona",0,1,"Team 2 Menang"
"82","Barcelona","Manchester Utd",3,0,"Team 1 Menang"
"83","Ajax","Juventus",1,1,"Imbang"
"84","Juventus","Ajax",1,2,"Team 2 Menang"
"85","Tottenham","Manchester City",1,0,"Team 1 Menang"
"86","Manchester City","Tottenham",4,3,"Team 1 Menang"
"87","Liverpool","Porto",2,0,"Team 1 Menang"
"88","Porto","Liverpool",1,4,"Team 2 Menang"
"89","Liverpool","Bayern Munich",0,0,"Imbang"
"90","Bayern Munich","Liverpool",1,3,"Team 2 Menang"
"91","Manchester Utd","Paris S-G",0,2,"Team 2 Menang"
"92","Paris S-G","Manchester Utd",1,3,"Team 2 Menang"
"93","Ajax","Real Madrid",1,2,"Team 2 Menang"
