,Unnamed: 0,Team1,Team2,Goal_Team_1,Goal_Team_2,Hasil
0,1,Real Madrid,Liverpool,1,0,Team 1 Menang
7,8,Chelsea,Real Madrid,1,3,Team 2 Menang
8,9,Real Madrid,Chelsea,2,3,Team 2 Menang
9,10,Benfica,Liverpool,1,3,Team 2 Menang
10,11,Liverpool,Benfica,3,3,Imbang
23,24,Paris S-G,Real Madrid,1,0,Team 1 Menang
24,25,Real Madrid,Paris S-G,3,1,Team 1 Menang
30,31,Real Madrid,Chelsea,1,1,Imbang
31,32,Chelsea,Real Madrid,2,0,Team 1 Menang
34,35,Bayern Munich,Paris S-G,2,3,Team 2 Menang
35,36,Paris S-G,Bayern Munich,0,1,Team 2 Menang
36,37,Real Madrid,Liverpool,3,1,Team 1 Menang
37,38,Liverpool,Real Madrid,0,0,Imbang
58,59,Bayern Munich,Paris S-G,1,0,Team 1 Menang
59,60,Chelsea,Bayern Munich,0,3,Team 2 Menang
60,61,Bayern Munich,Chelsea,4,1,Team 1 Menang
71,72,Dortmund,Paris S-G,2,1,Team 1 Menang
72,73,Paris S-G,Dortmund,2,0,Team 1 Menang
75,76,Liverpool,Tottenham,2,0,Team 1 Menang
88,89,Liverpool,Bayern Munich,0,0,Imbang
89,90,Bayern Munich,Liverpool,1,3,Team 2 Menang
96,97,Tottenham,Dortmund,3,0,Team 1 Menang
97,98,Dortmund,Tottenham,0,1,Team 2 Menang
104,105,Real Madrid,Liverpool,3,1,Team 1 Menang
105,106,Bayern Munich,Real Madrid,1,2,Team 2 Menang
106,107,Real Madrid,Bayern Munich,2,2,Imbang
125,126,Real Madrid,Paris S-G,3,1,Team 1 Menang
126,127,Paris S-G,Real Madrid,1,2,Team 2 Menang
138,139,Bayern Munich,Real Madrid,1,2,Team 2 Menang
139,140,Real Madrid,Bayern Munich,4,2,Team 1 Menang
150,151,Real Madrid,Napoli,3,1,Team 1 Menang
151,152,Napoli,Real Madrid,1,3,Team 2 Menang
156,157,Benfica,Dortmund,1,0,Team 1 Menang
157,158,Dortmund,Benfica,4,0,Team 1 Menang
167,168,Bayern Munich,Benfica,1,0,Team 1 Menang
168,169,Benfica,Bayern Munich,2,2,Imbang
187,188,Paris S-G,Chelsea,2,1,Team 1 Menang
188,189,Chelsea,Paris S-G,1,2,Team 2 Menang
218,219,Paris S-G,Chelsea,1,1,Imbang
219,220,Chelsea,Paris S-G,2,2,Imbang
221,222,Real Madrid,Bayern Munich,1,0,Team 1 Menang
222,223,Bayern Munich,Real Madrid,0,4,Team 2 Menang
229,230,Real Madrid,Dortmund,3,0,Team 1 Menang
230,231,Dortmund,Real Madrid,2,0,Team 1 Menang
231,232,Paris S-G,Chelsea,3,1,Team 1 Menang
232,233,Chelsea,Paris S-G,2,0,Team 1 Menang
249,250,Bayern Munich,Dortmund,2,1,Team 1 Menang
252,253,Dortmund,Real Madrid,4,1,Team 1 Menang
253,254,Real Madrid,Dortmund,2,0,Team 1 Menang
278,279,Chelsea,Bayern Munich,1,1,Imbang
279,280,Bayern Munich,Real Madrid,2,1,Team 1 Menang
280,281,Real Madrid,Bayern Munich,2,1,Team 1 Menang
289,290,Benfica,Chelsea,0,1,Team 2 Menang
290,291,Chelsea,Benfica,2,1,Team 1 Menang
303,304,Napoli,Chelsea,3,1,Team 1 Menang
304,305,Chelsea,Napoli,4,1,Team 1 Menang
316,317,Real Madrid,Tottenham,4,0,Team 1 Menang
317,318,Tottenham,Real Madrid,0,1,Team 2 Menang
328,329,Milan,Tottenham,0,1,Team 2 Menang
329,330,Tottenham,Milan,0,0,Imbang
376,377,Liverpool,Chelsea,1,3,Team 2 Menang
377,378,Chelsea,Liverpool,4,4,Imbang
388,389,Real Madrid,Liverpool,0,1,Team 2 Menang
389,390,Liverpool,Real Madrid,4,0,Team 1 Menang
397,398,Liverpool,Chelsea,1,1,Imbang
